name,jif,jif5Years,fiveYearJifQuartile,jifWithoutSelfCites,immediacyIndex
Punjab University Journal of Mathematics,1.0,0.8,N/A,0.9,0.1
English Today,1.0,1.2,Q3,0.8,0.6
Language Variation and Change,1.0,1.3,Q3,1.0,0.1
STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,1.0,1.4,Q1,0.9,0.5
Target-International Journal of Translation Studies,1.0,1.3,Q3,1.0,0.3
European Law Review,1.0,0.7,Q4,0.9,0.2
Journal of African Cultural Studies,1.0,1.1,Q2,0.9,0.4
Ethnoarchaeology,1.0,1.1,N/A,1.0,0.1
International Journal of Analysis and Applications,1.0,1.0,N/A,0.9,0.1
JOURNAL D ANALYSE MATHEMATIQUE,1.0,1.1,Q2,1.0,0.3
MATHEMATISCHE NACHRICHTEN,1.0,1.0,Q2,1.0,0.3
LOGIC JOURNAL OF THE IGPL,1.0,0.9,Q1,0.9,0.2
MATHEMATICAL INEQUALITIES & APPLICATIONS,1.0,1.0,Q2,0.9,0.2
JOURNAL OF HISTORICAL GEOGRAPHY,1.0,1.0,Q2,0.9,0.1
ACTA MATHEMATICA SCIENTIA,1.0,1.0,Q2,0.9,1.2
EUROPEAN JOURNAL OF COMBINATORICS,1.0,0.9,Q2,0.9,0.2
FINITE FIELDS AND THEIR APPLICATIONS,1.0,1.2,N/A,0.8,0.2
Glossa-A Journal of General Linguistics,1.0,1.2,Q3,0.9,0.1
Kinetic and Related Models,1.0,1.3,Q2,0.9,0.1
Arab World English Journal,1.0,0.9,N/A,0.7,0.1
Turkish Journal of Mathematics,1.0,0.9,Q2,0.9,0.2
OSTRICH,1.0,1.0,Q3,0.7,0.7
POSITIVITY,1.0,1.0,Q2,0.9,0.2
Journal of Applied Mathematics and Computational Mechanics,1.0,0.7,N/A,0.9,0.5
COMMUNICATIONS ON PURE AND APPLIED ANALYSIS,1.0,1.1,N/A,0.9,0.3
English Language & Linguistics,1.0,0.9,Q3,0.9,0.4
Space and Culture,1.0,1.1,Q2,0.9,0.3
Corpus Pragmatics,1.0,0.8,N/A,1.0,0.3
ISRAEL JOURNAL OF MATHEMATICS,1.0,1.0,Q2,0.9,0.2
Rendiconti del Circolo Matematico di Palermo,1.0,0.9,N/A,0.9,0.3
INDUSTRIAL LAW JOURNAL,1.0,1.2,Q3,0.8,0.2
Liverpool Law Review,1.0,0.8,N/A,0.9,0.3
Analysis and Geometry in Metric Spaces,1.0,1.2,Q2,1.0,0.1
Anthropological Forum,1.0,0.7,Q4,0.9,1.4
EUROPEAN JOURNAL OF MIGRATION AND LAW,1.0,1.1,Q3,0.9,0.5
INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY,1.0,1.2,Q3,0.9,0.3
Estonian Journal of Archaeology,1.0,0.6,N/A,0.5,<0.1
Gesture,1.0,1.7,Q2,1.0,<0.1
Journal of Advanced Academics,1.0,2.0,N/A,0.8,0.1
JOURNAL OF PHILOSOPHY OF EDUCATION,1.0,1.0,Q2,0.9,0.1
BOLETIN DE LA SOCIEDAD MATEMATICA MEXICANA,1.0,0.8,N/A,1.0,0.2
Fat Studies-An Interdisciplinary Journal of Body Weight and Society,1.0,,N/A,0.8,0.3
History of the Family,1.0,1.3,Q1,0.9,0.6
Opuscula Mathematica,1.0,0.9,N/A,0.8,0.5
Child Language Teaching & Therapy,1.0,1.8,Q2,1.0,0.3
Journal for General Philosophy of Science,1.0,0.9,N/A,0.9,0.5
Journal of Spectral Theory,1.0,1.0,N/A,1.0,0.5
Translation Studies,1.0,1.6,Q2,0.9,0.1
Journal of Second Language Studies,1.0,1.0,N/A,0.9,0.2
Middle East Law and Governance,1.0,1.0,N/A,1.0,0.9
SEMINARS IN SPEECH AND LANGUAGE,1.0,1.7,Q4,1.0,0.3
Journal of Computational Dynamics,1.0,,N/A,0.9,0.9
Legal Ethics,1.0,0.6,N/A,1.0,<0.1
PROCEEDINGS OF THE AMERICAN MATHEMATICAL SOCIETY,1.0,1.0,N/A,0.9,0.3
Eurasian Mathematical Journal,1.0,0.7,N/A,0.5,0.2
Journal of International Political Theory,1.0,1.2,N/A,0.9,0.4
ZOOSYSTEMA,1.0,0.9,Q3,0.9,<0.1
INTEGRAL TRANSFORMS AND SPECIAL FUNCTIONS,1.0,1.0,N/A,0.8,0.3
ZOOMORPHOLOGY,1.0,1.2,Q3,0.9,0.2
OCEANIA,1.0,0.9,Q3,0.9,0.1
POLITY,1.0,1.2,Q4,1.0,2.0
ANNALI DI MATEMATICA PURA ED APPLICATA,1.0,1.0,N/A,0.9,0.2
Annals of Functional Analysis,1.0,0.8,Q3,0.9,0.2
Differential Equations and Dynamical Systems,1.0,1.2,N/A,1.0,0.4
INTERFACES AND FREE BOUNDARIES,1.0,1.2,N/A,1.0,0.2
Teaching Exceptional Children,1.0,1.3,N/A,0.8,0.2
Climate Law,1.0,,N/A,0.8,0.6
COLUMBIA JOURNAL OF TRANSNATIONAL LAW,1.0,0.8,Q4,0.9,0.4
FOLIA PHONIATRICA ET LOGOPAEDICA,1.0,1.3,Q4,0.9,0.2
Journal of Transformative Education,1.0,17.7,N/A,0.8,0.1
Measurement-Interdisciplinary Research and Perspectives,1.0,3.2,N/A,1.0,0.1
Journal of Human Rights Practice,1.0,1.1,N/A,0.8,0.4
MATHEMATICAL RESEARCH LETTERS,1.0,0.9,Q2,1.0,0.3
MAMMALIA,1.0,1.0,Q3,0.9,0.3
Cogent Mathematics & Statistics,1.0,1.1,N/A,1.0,
Fennia-International Journal of Geography,1.0,1.5,N/A,1.0,1.0
Journal of Lithic Studies,1.0,0.9,N/A,0.9,0.3
HERPETOLOGICAL JOURNAL,1.0,0.9,Q3,0.9,0.2
AMPHIBIAN & REPTILE CONSERVATION,1.0,1.1,Q3,0.9,0.2
JOURNAL OF VETERINARY MEDICAL EDUCATION,1.0,1.3,Q3,0.7,0.1
AMERICAN ANNALS OF THE DEAF,1.0,1.2,Q4,0.9,0.1
Journal of Vascular Nursing,1.0,1.3,N/A,1.0,0.3
ENTERPRISE & SOCIETY,1.0,0.9,Q2,0.7,0.1
Global Studies of Childhood,1.0,,N/A,1.0,0.7
Italian Political Science Review-Rivista Italiana di Scienza Politica,1.0,0.8,N/A,0.9,1.5
ACTA CHIROPTEROLOGICA,1.0,1.2,Q3,0.8,<0.1
AKCE International Journal of Graphs and Combinatorics,1.0,1.0,N/A,0.9,0.2
AMEGHINIANA,1.0,1.2,Q4,0.9,0.5
GFF,1.0,1.3,Q3,0.9,0.2
Australian Journal of Forensic Sciences,1.0,0.9,Q4,0.9,0.2
Ecopsychology,1.0,1.7,N/A,0.9,1.0
NORTH AMERICAN JOURNAL OF AQUACULTURE,1.0,1.4,Q3,1.0,0.5
Communications in Mathematical Sciences,1.0,1.2,Q3,0.9,0.3
Howard Journal of Communications,1.0,1.3,N/A,0.9,0.1
Japanese Journal of Political Science,1.0,0.8,Q4,1.0,0.3
Journal of Evidence-Based Social Work,1.0,1.3,N/A,1.0,0.2
Journal of Public and Nonprofit Affairs,1.0,1.0,N/A,0.9,1.4
PERSPECTIVES IN BIOLOGY AND MEDICINE,1.0,1.1,N/A,0.8,0.2
RANDOM STRUCTURES & ALGORITHMS,1.0,1.1,Q2,0.9,0.2
Statistical Methods and Applications,1.0,1.1,Q3,1.0,0.2
Teaching & Learning Inquiry-The ISSOTL Journal,1.0,1.2,N/A,0.7,0.2
Asian Perspective,1.0,0.9,Q4,1.0,0.1
Ethics and Social Welfare,1.0,1.3,N/A,0.8,0.2
Journal of Community Health Nursing,1.0,1.7,Q4,0.9,0.1
African Journalism Studies,1.0,1.4,Q4,0.9,0.2
BELGIAN JOURNAL OF ZOOLOGY,1.0,0.9,Q3,1.0,0.5
European Physical Journal H,1.0,1.1,N/A,0.9,0.1
Journal of Poverty,1.0,1.2,N/A,0.9,0.1
Journal of Radio & Audio Media,1.0,0.9,N/A,0.8,1.0
JOURNAL OF THEORETICAL POLITICS,1.0,0.8,Q4,0.9,0.1
TEACHERS COLLEGE RECORD,1.0,1.6,Q4,1.0,0.4
AMERICAN JOURNAL OF VETERINARY RESEARCH,1.0,1.2,Q3,0.9,0.4
Aula Abierta,1.0,1.2,N/A,0.9,0.1
CANADIAN MODERN LANGUAGE REVIEW-REVUE CANADIENNE DES LANGUES VIVANTES,1.0,1.1,Q3,0.9,<0.1
Food and Foodways,1.0,1.0,N/A,1.0,0.7
International Journal of Play,1.0,,N/A,0.8,0.1
JNP- The Journal for Nurse Practitioners,1.0,1.0,Q4,0.9,0.3
JOURNAL OF ANIMAL AND FEED SCIENCES,1.0,1.6,Q3,1.0,0.2
Journal of Borderlands Studies,1.0,1.1,N/A,0.8,0.4
Journal of Forensic Nursing,1.0,1.6,Q3,0.9,0.4
Journal of International Advanced Otology,1.0,1.3,Q4,1.0,0.1
Pflege,1.0,0.8,Q4,0.8,0.1
Acta Facultatis Xylologiae Zvolen,1.0,0.9,N/A,0.6,0.4
Advances in Aircraft and Spacecraft Science,1.0,1.0,N/A,0.8,0.1
BULLETIN OF THE HISTORY OF MEDICINE,1.0,1.2,Q2,1.0,0.2
Food Culture & Society,1.0,1.2,Q4,0.8,0.1
JASA Express Letters,1.0,1.0,N/A,1.0,0.3
Journal of Global Entrepreneurship Research,1.0,3.1,N/A,0.9,0.1
Physiotherapy Canada,1.0,1.5,Q4,0.8,0.1
Action Learning,1.0,1.0,N/A,0.6,0.1
Alter-European Journal of Disability Research,1.0,0.9,N/A,1.0,
ANNALS OF THE INSTITUTE OF STATISTICAL MATHEMATICS,1.0,1.0,Q3,1.0,0.2
Annals of the University of Craiova-Mathematics and Computer Science Series,1.0,0.6,N/A,0.9,0.1
Education 3-13,1.0,1.0,N/A,0.9,0.1
Education and Treatment of Children,1.0,1.5,Q4,0.9,0.6
GEOLOGICAL QUARTERLY,1.0,0.9,Q4,1.0,0.2
JOURNAL OF INSECT BEHAVIOR,1.0,1.1,Q3,1.0,0.2
STANFORD JOURNAL OF INTERNATIONAL LAW,1.0,1.1,Q3,1.0,
Sudosteuropa,1.0,0.6,N/A,1.0,
Acta Orthopaedica et Traumatologica Turcica,1.0,1.6,Q4,1.0,0.2
All Azimuth-A Journal of Foreign Policy and Peace,1.0,1.5,N/A,0.7,0.5
Critical Education,1.0,0.9,N/A,0.7,0.1
CRITICAL STUDIES IN MEDIA COMMUNICATION,1.0,1.7,Q4,1.0,0.3
Mathematics in Engineering,1.0,1.4,Q3,1.0,0.7
Nursing Education Perspectives,1.0,1.3,N/A,1.0,0.2
PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,1.0,0.8,Q4,0.7,<0.1
SMITH COLLEGE STUDIES IN SOCIAL WORK,1.0,0.8,N/A,0.9,0.3
Womens Studies in Communication,1.0,2.0,N/A,1.0,0.1
Accounting History,1.0,1.0,N/A,0.8,0.1
Chinese Journal of International Law,1.0,1.1,Q3,0.8,0.2
Community College Journal of Research and Practice,1.0,0.9,N/A,0.8,0.2
Economics & Politics,1.0,1.9,Q3,0.9,0.2
French Politics,1.0,1.1,N/A,1.0,0.5
HUMAN RIGHTS QUARTERLY,1.0,1.2,Q4,0.9,0.3
International Journal of Educational Psychology,1.0,2.3,N/A,1.0,0.2
Journal of Academic Language and Learning,1.0,1.0,N/A,0.8,0.1
JOURNAL OF APPLIED PROBABILITY,1.0,1.0,Q3,0.9,0.2
Journal of Applied School Psychology,1.0,1.5,N/A,0.9,0.5
Papers in Language Testing and Assessment,1.0,2.0,N/A,1.0,
Pastoral Care in Education,1.0,1.0,N/A,0.8,0.3
SIAM Journal on Financial Mathematics,1.0,1.4,Q3,0.9,0.5
STRATIGRAPHY AND GEOLOGICAL CORRELATION,1.0,1.1,Q3,0.7,0.2
Veterinary Research Forum,1.0,1.3,Q3,1.0,0.2
Education and Training in Autism and Developmental Disabilities,1.0,1.6,Q4,0.9,0.1
Geologos,1.0,0.9,N/A,1.0,<0.1
LARYNGO-RHINO-OTOLOGIE,1.0,1.0,Q4,0.7,0.2
MAMMAL STUDY,1.0,0.9,Q3,0.8,0.3
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY,1.0,1.0,Q3,1.0,0.5
Ocnos-Revista de Estudios sobre la Lectura,1.0,0.9,N/A,0.9,0.3
SURGICAL LAPAROSCOPY ENDOSCOPY & PERCUTANEOUS TECHNIQUES,1.0,1.2,Q4,0.9,0.3
TURKISH JOURNAL OF ZOOLOGY,1.0,0.8,Q4,0.9,0.6
Women & Criminal Justice,1.0,1.5,Q3,0.9,0.4
Zeitschrift fur Orthopadie und Unfallchirurgie,1.0,0.9,Q4,0.9,0.1
Australian Universities Review,1.0,1.1,N/A,1.0,
European Oral Research,1.0,1.1,N/A,1.0,<0.1
Fundamental and Applied Limnology,1.0,1.0,Q4,1.0,0.2
International Journal of Game-Based Learning,1.0,1.0,N/A,1.0,0.1
International Journal of Palliative Nursing,1.0,1.3,N/A,0.9,0.1
Multicultural Education Review,1.0,1.4,N/A,1.0,0.3
Peace Economics Peace Science and Public Policy,1.0,0.7,N/A,0.9,0.1
Applied Mathematics-A Journal of Chinese Universities Series B,1.0,0.7,Q4,0.9,0.1
CANADIAN JOURNAL OF ANIMAL SCIENCE,1.0,1.2,Q3,1.0,0.3
FACIAL PLASTIC SURGERY,1.0,1.4,Q4,0.9,0.2
RATIONALITY AND SOCIETY,1.0,1.2,Q4,1.0,0.2
SCHMERZ,1.0,0.9,Q4,0.8,0.2
STATISTICAL MODELLING,1.0,1.7,Q2,1.0,0.4
ACTA ICHTHYOLOGICA ET PISCATORIA,1.0,0.9,Q3,1.0,0.3
ANNALES DE PALEONTOLOGIE,1.0,0.9,Q4,0.9,0.2
EPJ Techniques and Instrumentation,1.0,1.4,N/A,1.0,<0.1
International Journal of Health Promotion and Education,1.0,1.1,N/A,0.9,0.2
JOURNAL OF MATHEMATICAL SOCIOLOGY,1.0,1.1,Q4,0.9,0.4
Journal of the Korean Association of Oral and Maxillofacial Surgeons,1.0,1.4,N/A,0.9,0.2
Nordic Journal of Working Life Studies,1.0,1.4,N/A,0.8,0.3
SCANDINAVIAN JOURNAL OF STATISTICS,1.0,1.2,Q3,1.0,0.2
AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,1.0,0.9,Q4,1.0,0.2
Asian Journal of Endoscopic Surgery,1.0,1.0,N/A,0.9,0.1
Diaspora Studies,1.0,,N/A,0.9,0.2
EMOTIONAL AND BEHAVIOURAL DIFFICULTIES,1.0,1.4,N/A,0.9,0.1
HELMINTHOLOGIA,1.0,1.1,Q3,1.0,0.1
International Journal of Aeroacoustics,1.0,1.6,Q3,0.9,0.2
International Journal of Cyber Criminology,1.0,1.6,N/A,0.6,<0.1
JOURNAL OF ARACHNOLOGY,1.0,1.1,Q3,0.9,0.4
JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION,1.0,1.1,Q3,0.9,0.3
Language and Sociocultural Theory,1.0,1.3,N/A,0.8,<0.1
Notfall & Rettungsmedizin,1.0,0.8,Q4,0.6,0.5
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE,1.0,1.4,Q3,1.0,0.2
Acta Otorrinolaringologica Espanola,1.0,1.1,N/A,0.8,0.2
ANNALS OF GEOPHYSICS,1.0,1.2,Q4,1.0,0.8
Brazilian Journal of Probability and Statistics,1.0,0.8,Q4,0.9,0.1
International Journal of Surgery Open,1.0,0.9,N/A,1.0,0.1
Journal of Intercultural Studies,1.0,1.2,N/A,0.9,0.4
Journal of Investigative Psychology and Offender Profiling,1.0,1.3,Q4,0.9,0.2
Ocular Oncology and Pathology,1.0,1.2,N/A,1.0,0.1
Ophthalmic Surgery Lasers & Imaging Retina,1.0,1.2,Q4,1.0,0.2
ULTRASTRUCTURAL PATHOLOGY,1.0,1.1,Q4,0.9,0.3
Computer Optics,1.0,0.9,N/A,0.9,0.4
EDUCATIONAL THEORY,1.0,0.8,N/A,1.0,0.2
International Journal of Nursing Education Scholarship,1.0,,N/A,1.0,0.1
JOURNAL OF COMBINATORIAL OPTIMIZATION,1.0,1.1,Q3,0.9,0.3
Journal of Statistical Theory and Applications,1.0,0.9,N/A,1.0,0.4
JOURNAL OF VETERINARY DENTISTRY,1.0,1.3,Q3,0.9,0.1
MOLLUSCAN RESEARCH,1.0,0.9,Q3,0.9,0.1
SEARCH-Journal of Media and Communication Research,1.0,0.9,N/A,0.4,0.1
Boletin de la Asociacion de Geografos Espanoles,1.0,0.9,Q4,0.9,0.2
Egyptian Journal of Forensic Sciences,1.0,1.0,N/A,1.0,0.3
GeroPsych-The Journal of Gerontopsychology and Geriatric Psychiatry,1.0,1.2,N/A,1.0,0.1
Hand Therapy,1.0,0.9,N/A,0.9,0.1
INTERNATIONAL TAX AND PUBLIC FINANCE,1.0,1.4,Q3,0.9,0.3
Journal of Criminal Psychology,1.0,1.0,N/A,1.0,0.1
Networks and Heterogeneous Media,1.0,1.2,Q4,1.0,0.6
New Medit,1.0,1.2,Q3,0.7,<0.1
Skin Appendage Disorders,1.0,1.6,N/A,0.9,0.3
Academic Pathology,1.0,1.2,N/A,0.8,<0.1
AMERICAN SURGEON,1.0,0.9,Q4,1.0,0.2
Comparative Cytogenetics,1.0,1.0,Q3,1.0,0.4
Forests Trees and Livelihoods,1.0,,N/A,1.0,0.2
HORTTECHNOLOGY,1.0,1.1,Q3,0.9,0.4
INTERNATIONAL JOURNAL OF ENGINEERING EDUCATION,1.0,1.0,Q4,0.7,0.1
MINERVA GINECOLOGICA,1.0,1.9,N/A,1.0,
Pathologie,1.0,0.8,Q4,0.9,0.2
CARTOGRAPHIC JOURNAL,1.0,0.9,Q4,0.9,0.2
Indian Journal of Orthopaedics,1.0,1.3,Q4,1.0,0.1
Journal of Cases on Information Technology,1.0,1.3,N/A,1.0,0.5
Journal of Pharmaceutical Health Care and Sciences,1.0,1.3,N/A,1.0,0.2
Journal of Seed Science,1.0,1.2,Q3,0.7,0.1
RUSI Journal,1.0,0.9,N/A,0.9,0.2
Transylvanian Review of Administrative Sciences,1.0,0.8,Q4,0.9,0.5
CANADIAN VETERINARY JOURNAL-REVUE VETERINAIRE CANADIENNE,1.0,1.2,Q3,0.9,0.3
Cartographica,1.0,0.9,N/A,0.8,0.3
FORMAL ASPECTS OF COMPUTING,1.0,1.0,Q4,1.0,0.7
ICHTHYOLOGICAL EXPLORATION OF FRESHWATERS,1.0,1.0,Q3,1.0,
Image Processing On Line,1.0,1.5,N/A,1.0,0.3
Panoeconomicus,1.0,0.9,Q4,0.9,0.5
Quaestiones Geographicae,1.0,1.2,N/A,0.9,0.2
South East European Journal of Economics and Business,1.0,1.3,N/A,0.9,0.3
Spanish Journal of Finance and Accounting-Revista Espanola de Financiacion y Contabilidad,1.0,1.1,Q4,0.9,0.2
MARINE AND FRESHWATER BEHAVIOUR AND PHYSIOLOGY,1.0,1.0,Q4,1.0,0.2
Nursing Practice Today,1.0,,N/A,1.0,0.2
Review of International Economics,1.0,1.3,Q4,1.0,0.2
African Health Sciences,1.0,1.4,Q4,1.0,1.0
ANIMAL SCIENCE PAPERS AND REPORTS,1.0,1.1,Q3,0.6,0.1
ARQUIVOS BRASILEIROS DE OFTALMOLOGIA,1.0,1.1,Q4,1.0,0.6
Electronic News,1.0,,N/A,0.8,0.4
Journal of Sensors and Sensor Systems,1.0,1.7,N/A,0.9,0.3
PHYTOCOENOLOGIA,1.0,1.6,Q3,1.0,0.2
Statistics in Biosciences,1.0,1.3,N/A,1.0,0.1
TURKISH JOURNAL OF EARTH SCIENCES,1.0,1.1,Q4,0.9,0.2
Development in Practice,1.0,1.2,N/A,0.9,0.2
Financial and Credit Activity-Problems of Theory and Practice,1.0,0.7,N/A,0.8,0.2
FRAGMENTA ENTOMOLOGICA,1.0,,N/A,0.9,0.1
Journal of College Counseling,1.0,1.6,N/A,1.0,
KLINISCHE PADIATRIE,1.0,1.2,Q4,1.0,0.4
Radiation Effects and Defects in Solids,1.0,1.0,Q3,0.8,0.3
Taiwan Journal of Ophthalmology,1.0,,N/A,1.0,0.2
Annals of Finance,1.0,0.8,N/A,0.9,0.1
Applied Earth Science-Transactions of the Institutions of Mining and Metallurgy,1.0,1.8,N/A,0.9,0.1
CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,1.0,1.2,Q4,0.8,0.2
HUMAN STUDIES,1.0,1.0,Q4,0.9,0.3
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,1.0,2.3,Q3,0.8,0.2
Journal of Research in Pharmacy Practice,1.0,1.7,N/A,1.0,0.1
REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS,1.0,0.7,Q4,0.5,0.1
Ager-Revista de Estudios sobre Despoblacion y Desarrollo Rural,1.0,1.0,N/A,0.9,0.3
Algorithms for Molecular Biology,1.0,1.2,Q4,0.9,0.4
CARDIOLOGY IN THE YOUNG,1.0,1.1,Q4,0.9,0.3
CEN Case Reports,1.0,1.0,N/A,1.0,0.4
i2 Investigacion e Innovacion en Arquitectura y Territorio,1.0,,N/A,0.9,0.2
INFORMATION AND COMPUTATION,1.0,1.0,Q3,1.0,0.4
International Journal of Educational Leadership and Management,1.0,1.5,N/A,1.0,0.3
International Journal of Engineering and Technology Innovation,1.0,1.0,N/A,1.0,0.1
Journal of Mining and Metallurgy Section B-Metallurgy,1.0,1.0,Q4,0.6,0.3
JOURNAL OF POST KEYNESIAN ECONOMICS,1.0,1.5,Q3,0.9,<0.1
Journal of Trauma Nursing,1.0,1.4,Q4,0.9,0.1
Latin American Journal of Aquatic Research,1.0,1.1,Q3,0.9,0.2
Medical Mycology Journal,1.0,,N/A,0.9,0.3
Mediterranean Botany,1.0,0.9,Q4,0.9,0.4
Proceedings of the Institution of Civil Engineers-Bridge Engineering,1.0,1.1,N/A,0.9,1.0
Revista Facultad de Ingenieria-Universidad de Antioquia,1.0,1.0,N/A,1.0,0.4
Romanian Journal of Economic Forecasting,1.0,1.0,Q4,0.8,0.1
Uluslararasi Iliskiler-International Relations,1.0,0.8,Q4,0.7,0.3
ZEITSCHRIFT FUR RHEUMATOLOGIE,1.0,1.1,Q4,0.8,0.3
Analisi-Quaderns de Comunicacio i Cultura,1.0,0.8,N/A,1.0,0.1
ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,1.0,1.2,Q4,1.0,
ARCHIVES ITALIENNES DE BIOLOGIE,1.0,1.1,Q4,0.7,0.2
BEHAVIORAL INTERVENTIONS,1.0,1.2,Q4,0.8,0.2
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE,1.0,1.3,Q4,0.8,0.3
Forum for Social Economics,1.0,1.0,N/A,1.0,0.3
Journal of Acupuncture and Meridian Studies,1.0,1.3,N/A,0.9,0.2
Journal of Neurological Surgery Part A-Central European Neurosurgery,1.0,1.1,Q4,1.0,0.2
JOURNAL OF PRESSURE VESSEL TECHNOLOGY-TRANSACTIONS OF THE ASME,1.0,1.1,Q4,0.9,0.4
Journal of the Korean Astronomical Society,1.0,1.0,Q4,0.9,0.2
JOURNAL OF UNIVERSAL COMPUTER SCIENCE,1.0,1.0,Q4,1.0,0.3
Letters in Drug Design & Discovery,1.0,1.0,Q4,0.9,0.6
Proceedings of the Institution of Civil Engineers-Urban Design and Planning,1.0,1.0,N/A,0.7,1.2
QUANTUM INFORMATION & COMPUTATION,1.0,1.2,Q3,1.0,0.5
RADIATION PROTECTION DOSIMETRY,1.0,1.0,Q3,0.9,0.2
Revista de Psicologia del Deporte,1.0,1.0,Q4,1.0,0.3
ACTA SOCIETATIS BOTANICORUM POLONIAE,1.0,1.4,Q3,0.9,0.2
American Journal of Health Education,1.0,1.6,N/A,0.9,0.3
APPLIED MAGNETIC RESONANCE,1.0,0.9,Q4,0.9,0.3
Asian-Pacific Economic Literature,1.0,1.0,Q4,1.0,<0.1
Australian Economic Review,1.0,1.0,Q4,0.9,0.3
Comptabilite Controle Audit,1.0,1.0,Q4,0.5,<0.1
CRYOLETTERS,1.0,0.9,Q4,0.9,0.1
Horticultural Science & Technology,1.0,0.9,Q4,0.7,0.1
Ido Movement for Culture-Journal of Martial Arts Anthropology,1.0,1.2,N/A,0.8,0.7
Journal of Couple & Relationship Therapy-Innovations in Clinical and Educational Interventions,1.0,1.3,N/A,0.9,0.2
JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1.0,1.5,Q3,1.0,0.2
REVIEW OF SOCIAL ECONOMY,1.0,1.1,N/A,0.9,0.5
REVISTA LATINOAMERICANA DE PSICOLOGIA,1.0,1.7,Q3,0.8,<0.1
SCOTTISH GEOGRAPHICAL JOURNAL,1.0,0.9,Q4,0.8,0.5
SILVAE GENETICA,1.0,0.9,Q4,0.9,<0.1
Chemosensory Perception,1.0,1.4,Q4,1.0,0.1
Geofizika,1.0,1.5,Q3,1.0,0.2
International Journal of Agriculture and Natural Resources,1.0,1.0,Q3,1.0,0.1
International Journal of Grid and High Performance Computing,1.0,1.0,N/A,0.9,<0.1
Revista Brasileira de Fruticultura,1.0,1.1,Q3,0.8,0.3
Studies in Social Justice,1.0,1.0,N/A,0.9,1.5
THEORETICAL AND MATHEMATICAL PHYSICS,1.0,0.8,Q4,0.8,0.3
Turkish Journal of Pathology,1.0,1.1,N/A,0.9,0.4
Applied Ontology,1.0,1.3,Q3,0.7,1.6
Aviation,1.0,0.9,N/A,0.9,0.3
Collnet Journal of Scientometrics and Information Management,1.0,0.9,N/A,1.0,0.2
International Journal of Web and Grid Services,1.0,3.8,Q2,0.8,1.0
Journal of Korean Society for Atmospheric Environment,1.0,0.9,N/A,0.4,0.3
JOURNAL OF NIPPON MEDICAL SCHOOL,1.0,1.0,Q4,0.9,0.2
LIBRI-International Journal of Libraries and Information Studies,1.0,1.2,Q3,1.0,<0.1
NOVA HEDWIGIA,1.0,1.1,Q4,0.8,0.2
NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,1.0,1.1,Q4,1.0,0.1
OCEANOLOGY,1.0,1.0,Q4,0.8,0.3
Open Access Surgery,1.0,0.9,N/A,1.0,0.2
REFERENCE SERVICES REVIEW,1.0,1.1,Q3,0.9,0.3
SYSTEMATIC BOTANY,1.0,1.2,Q4,0.9,0.3
Acta of Bioengineering and Biomechanics,1.0,1.2,Q4,0.9,0.2
AFRICAN JOURNAL OF ECOLOGY,1.0,1.2,Q4,0.9,0.3
Archives of Disease in Childhood-Education and Practice Edition,1.0,1.4,Q4,1.0,0.2
CHINESE JOURNAL OF CHEMICAL PHYSICS,1.0,0.9,Q4,0.9,0.3
Egyptian Journal of Radiology and Nuclear Medicine,1.0,0.8,N/A,0.9,0.1
INDIAN JOURNAL OF GENETICS AND PLANT BREEDING,1.0,1.1,Q4,0.9,0.1
Indian Journal of Pathology and Microbiology,1.0,0.9,Q4,1.0,0.2
IZVESTIYA-PHYSICS OF THE SOLID EARTH,1.0,1.0,Q4,0.7,0.3
Journal of Agricultural Safety and Health,1.0,0.9,N/A,0.8,0.4
Journal of Bioinformatics and Computational Biology,1.0,1.2,Q4,1.0,0.2
Journal of Medical Case Reports,1.0,,N/A,1.0,0.2
Maternal-Fetal Medicine,1.0,1.3,N/A,0.9,0.4
MEDYCYNA PRACY,1.0,0.9,Q4,0.9,0.1
Metrology and Measurement Systems,1.0,1.0,Q4,0.9,0.2
Neurohospitalist,1.0,1.0,N/A,1.0,0.2
New Mathematics and Natural Computation,1.0,1.3,N/A,0.9,0.3
Western Pacific Surveillance and Response,1.0,1.2,N/A,1.0,0.5
Advanced Biomedical Research,1.0,,N/A,1.0,0.1
